Date,T1,T2
2018-01-09-11:01:02,-0.043,-0.23
2018-01-09-11:01:07,-0.043,-0.228
2018-01-09-11:01:12,-0.043,-0.228
2018-01-09-11:01:17,-0.042,-0.226
2018-01-09-11:01:22,-0.038,-0.226
2018-01-09-11:01:27,-0.038,-0.229
2018-01-09-11:01:32,-0.042,-0.226
2018-01-09-11:01:37,-0.042,-0.224
2018-01-09-11:01:42,-0.042,-0.225
2018-01-09-11:01:47,-0.04,-0.224
2018-01-09-11:01:52,-0.039,-0.224
2018-01-09-11:01:57,-0.04,-0.227
2018-01-09-11:02:02,-0.04,-0.224
2018-01-09-11:02:07,-0.037,-0.223
2018-01-09-11:02:12,-0.04,-0.226
2018-01-09-11:02:17,-0.039,-0.223
2018-01-09-11:02:22,-0.039,-0.223
2018-01-09-11:02:27,-0.041,-0.226
2018-01-09-11:02:32,-0.04,-0.224
2018-01-09-11:02:37,-0.039,-0.223
2018-01-09-11:02:42,-0.039,-0.226
2018-01-09-11:02:47,-0.04,-0.224
2018-01-09-11:02:52,-0.039,-0.222
2018-01-09-11:02:57,-0.039,-0.224
2018-01-09-11:03:02,-0.039,-0.222
2018-01-09-11:03:07,-0.039,-0.221
2018-01-09-11:03:12,-0.04,-0.224
2018-01-09-11:03:17,-0.039,-0.22
2018-01-09-11:03:22,-0.039,-0.222
2018-01-09-11:03:27,-0.037,-0.224
2018-01-09-11:03:32,-0.037,-0.222
2018-01-09-11:03:37,-0.038,-0.221
2018-01-09-11:03:42,-0.038,-0.222
2018-01-09-11:03:47,-0.04,-0.221
2018-01-09-11:03:52,-0.039,-0.221
2018-01-09-11:03:57,-0.038,-0.223
2018-01-09-11:04:02,-0.039,-0.221
2018-01-09-11:04:07,-0.039,-0.22
2018-01-09-11:04:12,-0.038,-0.222
2018-01-09-11:04:17,-0.039,-0.219
2018-01-09-11:04:22,-0.04,-0.218
2018-01-09-11:04:27,-0.038,-0.221
2018-01-09-11:04:32,-0.039,-0.219
2018-01-09-11:04:37,-0.039,-0.22
2018-01-09-11:04:42,-0.038,-0.222
2018-01-09-11:04:47,-0.039,-0.22
2018-01-09-11:04:52,-0.036,-0.22
2018-01-09-11:04:57,-0.035,-0.221
2018-01-09-11:05:02,-0.039,-0.218
2018-01-09-11:05:07,-0.04,-0.219
2018-01-09-11:05:12,-0.038,-0.222
2018-01-09-11:05:17,-0.037,-0.218
2018-01-09-11:05:22,-0.038,-0.219
2018-01-09-11:05:27,-0.039,-0.221
2018-01-09-11:05:32,-0.038,-0.218
2018-01-09-11:05:37,-0.039,-0.218
2018-01-09-11:05:42,-0.038,-0.218
2018-01-09-11:05:47,-0.038,-0.218
2018-01-09-11:05:52,-0.039,-0.217
2018-01-09-11:05:57,-0.037,-0.221
2018-01-09-11:06:02,-0.036,-0.218
2018-01-09-11:06:07,-0.037,-0.218
2018-01-09-11:06:12,-0.036,-0.219
2018-01-09-11:06:17,-0.038,-0.218
2018-01-09-11:06:22,-0.039,-0.217
2018-01-09-11:06:27,-0.038,-0.219
2018-01-09-11:06:32,-0.037,-0.217
2018-01-09-11:06:37,-0.038,-0.217
2018-01-09-11:06:42,-0.037,-0.22
2018-01-09-11:06:47,-0.038,-0.217
2018-01-09-11:06:52,-0.038,-0.216
2018-01-09-11:06:57,-0.036,-0.218
2018-01-09-11:07:02,-0.038,-0.216
2018-01-09-11:07:07,-0.038,-0.215
2018-01-09-11:07:12,-0.037,-0.218
2018-01-09-11:07:17,-0.035,-0.216
2018-01-09-11:07:22,-0.035,-0.216
2018-01-09-11:07:27,-0.034,-0.217
2018-01-09-11:07:32,-0.037,-0.216
2018-01-09-11:07:37,-0.036,-0.214
2018-01-09-11:07:42,-0.037,-0.218
2018-01-09-11:07:47,-0.038,-0.215
2018-01-09-11:07:52,-0.037,-0.215
2018-01-09-11:07:57,-0.037,-0.218
2018-01-09-11:08:02,-0.035,-0.215
2018-01-09-11:08:07,-0.037,-0.213
2018-01-09-11:08:12,-0.036,-0.216
2018-01-09-11:08:17,-0.034,-0.212
2018-01-09-11:08:22,-0.036,-0.213
2018-01-09-11:08:27,-0.036,-0.216
2018-01-09-11:08:32,-0.037,-0.214
2018-01-09-11:08:37,-0.033,-0.214
2018-01-09-11:08:42,-0.036,-0.217
2018-01-09-11:08:47,-0.035,-0.214
2018-01-09-11:08:52,-0.035,-0.213
2018-01-09-11:08:57,-0.036,-0.215
2018-01-09-11:09:02,-0.036,-0.213
2018-01-09-11:09:07,-0.037,-0.212
2018-01-09-11:09:12,-0.035,-0.216
2018-01-09-11:09:17,-0.035,-0.213
2018-01-09-11:09:22,-0.036,-0.213
2018-01-09-11:09:27,-0.039,-0.214
2018-01-09-11:09:32,-0.035,-0.213
2018-01-09-11:09:37,-0.037,-0.211
2018-01-09-11:09:42,-0.035,-0.215
2018-01-09-11:09:47,-0.036,-0.213
2018-01-09-11:09:52,-0.035,-0.214
2018-01-09-11:09:57,-0.034,-0.214
2018-01-09-11:10:02,-0.034,-0.214
2018-01-09-11:10:07,-0.03,-0.21
2018-01-09-11:10:12,-0.034,-0.214
2018-01-09-11:10:17,-0.035,-0.213
2018-01-09-11:10:22,-0.033,-0.213
2018-01-09-11:10:27,-0.035,-0.215
2018-01-09-11:10:32,-0.035,-0.21
2018-01-09-11:10:37,-0.034,-0.21
2018-01-09-11:10:42,-0.034,-0.213
2018-01-09-11:10:47,-0.034,-0.21
2018-01-09-11:10:52,-0.034,-0.209
2018-01-09-11:10:57,-0.035,-0.21
2018-01-09-11:11:02,-0.034,-0.21
2018-01-09-11:11:07,-0.035,-0.209
2018-01-09-11:11:12,-0.033,-0.21
2018-01-09-11:11:17,-0.033,-0.209
2018-01-09-11:11:22,-0.033,-0.209
2018-01-09-11:11:27,-0.032,-0.211
2018-01-09-11:11:32,-0.032,-0.21
2018-01-09-11:11:37,-0.034,-0.21
2018-01-09-11:11:42,-0.034,-0.212
2018-01-09-11:11:47,-0.034,-0.209
2018-01-09-11:11:52,-0.034,-0.209
2018-01-09-11:11:57,-0.032,-0.212
2018-01-09-11:12:02,-0.034,-0.209
2018-01-09-11:12:07,-0.033,-0.209
2018-01-09-11:12:12,-0.031,-0.21
2018-01-09-11:12:17,-0.035,-0.207
2018-01-09-11:12:22,-0.034,-0.208
2018-01-09-11:12:27,-0.033,-0.21
2018-01-09-11:12:32,-0.034,-0.208
2018-01-09-11:12:37,-0.034,-0.209
2018-01-09-11:12:42,-0.031,-0.21
2018-01-09-11:12:47,-0.032,-0.207
2018-01-09-11:12:52,-0.033,-0.208
2018-01-09-11:12:57,-0.035,-0.21
2018-01-09-11:13:02,-0.034,-0.209
2018-01-09-11:13:07,-0.034,-0.207
2018-01-09-11:13:12,-0.034,-0.21
2018-01-09-11:13:17,-0.031,-0.207
2018-01-09-11:13:22,-0.034,-0.207
2018-01-09-11:13:27,-0.031,-0.209
2018-01-09-11:13:32,-0.033,-0.206
2018-01-09-11:13:37,-0.033,-0.205
2018-01-09-11:13:42,-0.033,-0.209
2018-01-09-11:13:47,-0.033,-0.206
2018-01-09-11:13:52,-0.031,-0.206
2018-01-09-11:13:57,-0.031,-0.209
2018-01-09-11:14:02,-0.031,-0.207
2018-01-09-11:14:07,-0.03,-0.206
2018-01-09-11:14:12,-0.032,-0.207
2018-01-09-11:14:17,-0.033,-0.202
2018-01-09-11:14:22,-0.033,-0.206
2018-01-09-11:14:27,-0.032,-0.207
2018-01-09-11:14:32,-0.031,-0.205
2018-01-09-11:14:37,-0.029,-0.205
2018-01-09-11:14:42,-0.031,-0.207
2018-01-09-11:14:47,-0.032,-0.205
2018-01-09-11:14:52,-0.032,-0.205
2018-01-09-11:14:57,-0.033,-0.205
2018-01-09-11:15:02,-0.033,-0.204
2018-01-09-11:15:07,-0.035,-0.205
2018-01-09-11:15:12,-0.031,-0.207
2018-01-09-11:15:17,-0.034,-0.204
2018-01-09-11:15:22,-0.031,-0.204
2018-01-09-11:15:27,-0.029,-0.205
2018-01-09-11:15:32,-0.032,-0.204
2018-01-09-11:15:37,-0.033,-0.204
2018-01-09-11:15:42,-0.031,-0.205
2018-01-09-11:15:47,-0.032,-0.204
2018-01-09-11:15:52,-0.031,-0.203
2018-01-09-11:15:57,-0.03,-0.205
2018-01-09-11:16:02,-0.031,-0.201
2018-01-09-11:16:07,-0.033,-0.206
2018-01-09-11:16:12,-0.029,-0.203
2018-01-09-11:16:17,-0.031,-0.201
2018-01-09-11:16:22,-0.029,-0.203
2018-01-09-11:16:27,-0.029,-0.2
2018-01-09-11:16:32,-0.03,-0.203
2018-01-09-11:16:37,-0.029,-0.203
2018-01-09-11:16:42,-0.03,-0.201
2018-01-09-11:16:47,-0.031,-0.201
2018-01-09-11:16:52,-0.03,-0.203
2018-01-09-11:16:57,-0.031,-0.2
2018-01-09-11:17:02,-0.029,-0.202
2018-01-09-11:17:07,-0.03,-0.203
2018-01-09-11:17:12,-0.033,-0.2
2018-01-09-11:17:17,-0.03,-0.2
2018-01-09-11:17:22,-0.033,-0.199
2018-01-09-11:17:27,-0.034,-0.2
2018-01-09-11:17:32,-0.03,-0.198
2018-01-09-11:17:37,-0.033,-0.197
2018-01-09-11:17:42,-0.032,-0.195
2018-01-09-11:17:47,-0.034,-0.197
2018-01-09-11:17:52,-0.03,-0.198
2018-01-09-11:17:57,-0.032,-0.196
2018-01-09-11:18:02,-0.03,-0.196
2018-01-09-11:18:07,-0.03,-0.197
2018-01-09-11:18:12,-0.031,-0.193
2018-01-09-11:18:17,-0.031,-0.195
2018-01-09-11:18:22,-0.03,-0.197
2018-01-09-11:18:27,-0.031,-0.194
2018-01-09-11:18:32,-0.03,-0.194
2018-01-09-11:18:37,-0.032,-0.198
2018-01-09-11:18:42,-0.031,-0.196
2018-01-09-11:18:47,-0.03,-0.197
2018-01-09-11:18:52,-0.034,-0.197
2018-01-09-11:18:57,-0.03,-0.192
2018-01-09-11:19:02,-0.033,-0.196
2018-01-09-11:19:07,-0.033,-0.195
2018-01-09-11:19:12,-0.032,-0.194
2018-01-09-11:19:17,-0.033,-0.193
2018-01-09-11:19:22,-0.031,-0.191
2018-01-09-11:19:27,-0.034,-0.192
2018-01-09-11:19:32,-0.03,-0.192
2018-01-09-11:19:37,-0.031,-0.192
2018-01-09-11:19:42,-0.03,-0.19
2018-01-09-11:19:47,-0.029,-0.189
2018-01-09-11:19:52,-0.03,-0.191
2018-01-09-11:19:57,-0.031,-0.19
2018-01-09-11:20:02,-0.031,-0.191
2018-01-09-11:20:07,-0.03,-0.192
2018-01-09-11:20:12,-0.032,-0.19
2018-01-09-11:20:17,-0.032,-0.19
2018-01-09-11:20:22,-0.029,-0.19
2018-01-09-11:20:27,-0.032,-0.19
2018-01-09-11:20:32,-0.033,-0.19
2018-01-09-11:20:37,-0.031,-0.19
2018-01-09-11:20:42,-0.034,-0.188
2018-01-09-11:20:47,-0.035,-0.189
2018-01-09-11:20:52,-0.033,-0.188
2018-01-09-11:20:57,-0.033,-0.188
